CollegeName,CollegeCode,CourseCode,Category,CutoffRank,Location,Year,Round
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1G,7516,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2AG,6740,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2AR,7574,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2BG,10625,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3AG,5191,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3BG,4814,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GM,4550,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GMK,9379,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GMR,5801,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCG,26335,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCK,29894,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCR,29048,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,STG,21880,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,STR,23537,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,CIVIL ENGINEERING,1G,70257,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,CIVIL ENGINEERING,1R,91660,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,CIVIL ENGINEERING,2AG,60612,Bangalore,2025,Mock Round 1
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",E001,CIVIL ENGINEERING,2AK,70115,Bangalore,2025,Mock Round 1
