CollegeName,CollegeCode,CourseCode,Category,CutoffRank,Location,Year,Round
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",1G,9507,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",1K,18087,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",2AG,6191,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",2AR,9519,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",2BG,9240,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",3AG,4810,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",3BG,5160,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",GM,4257,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",GMK,7979,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",GMR,6198,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",SCG,26148,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",SCR,33645,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",STG,24190,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,"AI Artificial
Intelligence",STR,28919,Bangalore,2023,Round 1
