institute,institute_code,course,category,cutoff_rank,year,round
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","1G","7516","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","2AG","6740","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","2AR","7574","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","2BG","10625","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","3AG","5191","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","3BG","4814","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","GM","4550","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","GMK","9379","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","GMR","5801","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","SCG","26335","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","SCK","29894","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","SCR","29048","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","STG","21880","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","STR","23537","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","CIVIL ENGINEERING","1G","70257","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","CIVIL ENGINEERING","1R","91660","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","CIVIL ENGINEERING","2AG","60612","2025","MOCK"
"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore","E001","CIVIL ENGINEERING","2AK","70115","2025","MOCK"
